TI=0.05 | U_mean=4.00 | Ct_used=0.92 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_4_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 4.08 0.00 0.00 0.00 0.00
0.01 4.08 0.00 0.00 0.02 0.00
0.02 4.08 0.00 0.00 0.04 0.00
0.03 4.09 0.00 0.00 0.06 0.00
0.04 4.09 0.00 0.00 0.08 0.00
0.05 4.10 0.00 0.00 0.09 0.00
0.06 4.10 0.00 0.00 0.11 0.00
0.07 4.10 0.00 0.00 0.13 0.00
0.08 4.11 0.01 0.00 0.15 0.00
0.09 4.11 0.01 0.00 0.17 0.00
0.10 4.12 0.01 0.00 0.19 0.00
0.11 4.12 0.01 0.00 0.20 0.00
0.12 4.13 0.01 0.00 0.22 0.00
0.13 4.14 0.02 0.00 0.24 0.00
0.14 4.15 0.02 0.00 0.26 0.00
0.15 4.16 0.02 0.00 0.27 0.00
0.16 4.16 0.02 0.00 0.29 0.00
0.17 4.17 0.03 0.00 0.31 0.00
0.18 4.17 0.03 0.00 0.32 0.00
0.19 4.17 0.03 0.00 0.34 0.00
0.20 4.17 0.04 0.00 0.35 0.00
0.21 4.16 0.04 0.00 0.37 0.00
0.22 4.16 0.04 0.00 0.38 0.00
0.23 4.15 0.05 0.00 0.39 0.01
0.24 4.14 0.05 0.00 0.41 0.01
0.25 4.13 0.06 0.00 0.42 0.01
0.26 4.12 0.06 0.00 0.43 0.01
0.27 4.12 0.06 0.00 0.44 0.01
0.28 4.11 0.07 0.00 0.45 0.01
0.29 4.11 0.07 0.00 0.46 0.01
0.30 4.12 0.08 0.00 0.47 0.01
0.31 4.12 0.08 0.00 0.48 0.01
0.32 4.13 0.09 0.00 0.48 0.01
0.33 4.15 0.09 0.00 0.49 0.02
0.34 4.16 0.10 0.00 0.50 0.02
0.35 4.18 0.10 0.00 0.50 0.02
0.36 4.20 0.11 0.00 0.51 0.02
0.37 4.22 0.11 0.00 0.51 0.02
0.38 4.23 0.12 0.00 0.52 0.02
0.39 4.25 0.12 0.00 0.52 0.02
0.40 4.26 0.13 0.00 0.52 0.03
0.41 4.28 0.13 0.00 0.53 0.03
0.42 4.28 0.14 0.00 0.53 0.03
0.43 4.29 0.14 0.00 0.53 0.03
0.44 4.29 0.15 0.00 0.53 0.03
0.45 4.30 0.15 0.00 0.53 0.04
0.46 4.30 0.16 0.00 0.53 0.04
0.47 4.29 0.17 0.01 0.53 0.04
0.48 4.29 0.17 0.01 0.53 0.04
0.49 4.28 0.18 0.01 0.53 0.04
0.50 4.27 0.18 0.01 0.52 0.05
0.51 4.26 0.19 0.01 0.52 0.05
0.52 4.24 0.19 0.01 0.51 0.05
0.53 4.23 0.20 0.01 0.51 0.05
0.54 4.21 0.20 0.01 0.50 0.06
0.55 4.19 0.21 0.01 0.50 0.06
0.56 4.17 0.21 0.01 0.49 0.06
0.57 4.15 0.22 0.01 0.48 0.06
0.58 4.13 0.22 0.01 0.47 0.07
0.59 4.11 0.23 0.01 0.46 0.07
0.60 4.10 0.23 0.01 0.45 0.07
0.61 4.09 0.23 0.01 0.44 0.08
0.62 4.09 0.24 0.01 0.42 0.08
0.63 4.09 0.24 0.01 0.41 0.08
0.64 4.09 0.25 0.02 0.40 0.08
0.65 4.10 0.25 0.02 0.38 0.09
0.66 4.11 0.25 0.02 0.37 0.09
0.67 4.12 0.26 0.02 0.36 0.09
0.68 4.14 0.26 0.02 0.34 0.10
0.69 4.15 0.27 0.02 0.33 0.10
0.70 4.16 0.27 0.02 0.31 0.10
0.71 4.17 0.27 0.02 0.30 0.11
0.72 4.18 0.27 0.02 0.28 0.11
0.73 4.18 0.28 0.02 0.27 0.11
0.74 4.18 0.28 0.03 0.25 0.11
0.75 4.18 0.28 0.03 0.24 0.12
0.76 4.17 0.28 0.03 0.22 0.12
0.77 4.17 0.29 0.03 0.20 0.12
0.78 4.16 0.29 0.03 0.19 0.13
0.79 4.16 0.29 0.03 0.17 0.13
0.80 4.15 0.29 0.03 0.16 0.13
0.81 4.15 0.29 0.03 0.14 0.13
0.82 4.15 0.29 0.04 0.12 0.14
0.83 4.15 0.30 0.04 0.11 0.14
0.84 4.15 0.30 0.04 0.09 0.14
0.85 4.15 0.30 0.04 0.07 0.15
0.86 4.15 0.30 0.04 0.06 0.15
0.87 4.15 0.30 0.04 0.04 0.15
0.88 4.15 0.30 0.04 0.03 0.15
0.89 4.15 0.30 0.05 0.01 0.16
0.90 4.14 0.30 0.05 -0.01 0.16
0.91 4.13 0.30 0.05 -0.02 0.16
0.92 4.12 0.30 0.05 -0.04 0.16
0.93 4.11 0.30 0.05 -0.05 0.16
0.94 4.10 0.30 0.05 -0.07 0.17
0.95 4.09 0.30 0.06 -0.08 0.17
0.96 4.08 0.30 0.06 -0.10 0.17
0.97 4.07 0.30 0.06 -0.11 0.17
0.98 4.07 0.29 0.06 -0.12 0.17
0.99 4.07 0.29 0.06 -0.14 0.18
1.00 4.07 0.29 0.06 -0.15 0.18
1.01 4.07 0.29 0.07 -0.16 0.18
1.02 4.07 0.29 0.07 -0.17 0.18
1.03 4.08 0.29 0.07 -0.18 0.18
1.04 4.08 0.28 0.07 -0.20 0.18
1.05 4.09 0.28 0.07 -0.21 0.18
1.06 4.09 0.28 0.08 -0.22 0.18
1.07 4.09 0.28 0.08 -0.22 0.19
1.08 4.10 0.28 0.08 -0.23 0.19
1.09 4.10 0.27 0.08 -0.24 0.19
1.10 4.10 0.27 0.08 -0.25 0.19
1.11 4.10 0.27 0.08 -0.26 0.19
1.12 4.10 0.27 0.09 -0.26 0.19
1.13 4.10 0.26 0.09 -0.27 0.19
1.14 4.11 0.26 0.09 -0.27 0.19
1.15 4.11 0.26 0.09 -0.28 0.19
1.16 4.12 0.26 0.09 -0.28 0.19
1.17 4.13 0.25 0.10 -0.28 0.19
1.18 4.15 0.25 0.10 -0.28 0.19
1.19 4.16 0.25 0.10 -0.28 0.19
1.20 4.17 0.24 0.10 -0.28 0.19
1.21 4.18 0.24 0.10 -0.28 0.18
1.22 4.19 0.24 0.10 -0.28 0.18
1.23 4.20 0.24 0.11 -0.28 0.18
1.24 4.20 0.23 0.11 -0.28 0.18
1.25 4.20 0.23 0.11 -0.27 0.18
1.26 4.19 0.23 0.11 -0.27 0.18
1.27 4.18 0.22 0.11 -0.27 0.18
1.28 4.16 0.22 0.12 -0.26 0.18
1.29 4.15 0.22 0.12 -0.26 0.17
1.30 4.13 0.22 0.12 -0.25 0.17
1.31 4.12 0.21 0.12 -0.24 0.17
1.32 4.10 0.21 0.12 -0.24 0.17
1.33 4.09 0.21 0.12 -0.23 0.17
1.34 4.08 0.21 0.13 -0.22 0.16
1.35 4.07 0.21 0.13 -0.21 0.16
1.36 4.07 0.20 0.13 -0.21 0.16
1.37 4.06 0.20 0.13 -0.20 0.16
1.38 4.06 0.20 0.13 -0.19 0.15
1.39 4.06 0.20 0.13 -0.18 0.15
1.40 4.06 0.20 0.14 -0.17 0.15
1.41 4.05 0.19 0.14 -0.16 0.14
1.42 4.05 0.19 0.14 -0.15 0.14
1.43 4.04 0.19 0.14 -0.14 0.14
1.44 4.03 0.19 0.14 -0.12 0.13
1.45 4.02 0.19 0.14 -0.11 0.13
1.46 4.01 0.19 0.14 -0.10 0.13
1.47 4.00 0.19 0.14 -0.09 0.12
1.48 3.98 0.19 0.15 -0.07 0.12
1.49 3.97 0.19 0.15 -0.06 0.12
1.50 3.96 0.18 0.15 -0.05 0.11
1.51 3.95 0.18 0.15 -0.04 0.11
1.52 3.94 0.18 0.15 -0.02 0.11
1.53 3.94 0.18 0.15 -0.01 0.10
1.54 3.94 0.18 0.15 0.00 0.10
1.55 3.93 0.18 0.15 0.02 0.10
1.56 3.93 0.18 0.15 0.03 0.09
1.57 3.93 0.18 0.16 0.04 0.09
1.58 3.93 0.18 0.16 0.06 0.08
1.59 3.93 0.19 0.16 0.07 0.08
1.60 3.92 0.19 0.16 0.08 0.08
1.61 3.92 0.19 0.16 0.10 0.07
1.62 3.92 0.19 0.16 0.11 0.07
1.63 3.91 0.19 0.16 0.13 0.06
1.64 3.91 0.19 0.16 0.14 0.06
1.65 3.90 0.19 0.16 0.15 0.06
1.66 3.90 0.19 0.16 0.16 0.05
1.67 3.90 0.20 0.16 0.18 0.05
1.68 3.90 0.20 0.16 0.19 0.04
1.69 3.90 0.20 0.16 0.20 0.04
1.70 3.90 0.20 0.16 0.21 0.04
1.71 3.90 0.20 0.16 0.23 0.03
1.72 3.90 0.21 0.16 0.24 0.03
1.73 3.91 0.21 0.16 0.25 0.02
1.74 3.91 0.21 0.16 0.26 0.02
1.75 3.92 0.21 0.16 0.27 0.02
1.76 3.92 0.22 0.16 0.28 0.01
1.77 3.93 0.22 0.16 0.29 0.01
1.78 3.93 0.22 0.17 0.30 0.00
1.79 3.94 0.23 0.17 0.31 0.00
1.80 3.94 0.23 0.17 0.32 -0.00
1.81 3.94 0.23 0.17 0.33 -0.01
1.82 3.94 0.23 0.16 0.34 -0.01
1.83 3.94 0.24 0.16 0.34 -0.01
1.84 3.94 0.24 0.16 0.35 -0.02
1.85 3.95 0.25 0.16 0.36 -0.02
1.86 3.95 0.25 0.16 0.36 -0.02
1.87 3.95 0.25 0.16 0.37 -0.03
1.88 3.95 0.26 0.16 0.37 -0.03
1.89 3.95 0.26 0.16 0.38 -0.03
1.90 3.95 0.26 0.16 0.38 -0.04
1.91 3.95 0.27 0.16 0.39 -0.04
1.92 3.94 0.27 0.16 0.39 -0.04
1.93 3.94 0.28 0.16 0.39 -0.05
1.94 3.94 0.28 0.16 0.39 -0.05
1.95 3.93 0.28 0.16 0.39 -0.05
1.96 3.92 0.29 0.16 0.39 -0.05
1.97 3.92 0.29 0.16 0.39 -0.06
1.98 3.91 0.29 0.16 0.39 -0.06
1.99 3.90 0.30 0.16 0.39 -0.06
2.00 3.90 0.30 0.16 0.39 -0.06
2.01 3.90 0.31 0.16 0.38 -0.07
2.02 3.89 0.31 0.16 0.38 -0.07
2.03 3.89 0.31 0.16 0.37 -0.07
2.04 3.89 0.32 0.16 0.37 -0.07
2.05 3.89 0.32 0.15 0.36 -0.07
2.06 3.88 0.33 0.15 0.36 -0.08
2.07 3.88 0.33 0.15 0.35 -0.08
2.08 3.88 0.33 0.15 0.34 -0.08
2.09 3.88 0.34 0.15 0.33 -0.08
2.10 3.87 0.34 0.15 0.32 -0.08
2.11 3.87 0.34 0.15 0.32 -0.08
2.12 3.86 0.35 0.15 0.31 -0.08
2.13 3.85 0.35 0.15 0.29 -0.09
2.14 3.85 0.35 0.15 0.28 -0.09
2.15 3.84 0.35 0.15 0.27 -0.09
2.16 3.83 0.36 0.15 0.26 -0.09
2.17 3.82 0.36 0.14 0.25 -0.09
2.18 3.82 0.36 0.14 0.23 -0.09
2.19 3.81 0.36 0.14 0.22 -0.09
2.20 3.81 0.37 0.14 0.20 -0.09
2.21 3.81 0.37 0.14 0.19 -0.09
2.22 3.81 0.37 0.14 0.17 -0.09
2.23 3.81 0.37 0.14 0.16 -0.09
2.24 3.81 0.37 0.14 0.14 -0.09
2.25 3.81 0.37 0.14 0.13 -0.09
2.26 3.81 0.38 0.14 0.11 -0.10
2.27 3.81 0.38 0.14 0.09 -0.10
2.28 3.81 0.38 0.13 0.07 -0.10
2.29 3.81 0.38 0.13 0.06 -0.10
2.30 3.81 0.38 0.13 0.04 -0.10
2.31 3.81 0.38 0.13 0.02 -0.10
2.32 3.81 0.38 0.13 0.00 -0.10
2.33 3.81 0.38 0.13 -0.01 -0.10
2.34 3.81 0.38 0.13 -0.03 -0.10
2.35 3.80 0.38 0.13 -0.05 -0.10
2.36 3.80 0.38 0.13 -0.07 -0.10
2.37 3.80 0.38 0.13 -0.09 -0.10
2.38 3.80 0.38 0.12 -0.11 -0.10
2.39 3.79 0.37 0.12 -0.12 -0.10
2.40 3.79 0.37 0.12 -0.14 -0.10
2.41 3.79 0.37 0.12 -0.16 -0.09
2.42 3.78 0.37 0.12 -0.18 -0.09
2.43 3.78 0.37 0.12 -0.20 -0.09
2.44 3.77 0.37 0.12 -0.22 -0.09
2.45 3.77 0.36 0.12 -0.23 -0.09
2.46 3.77 0.36 0.12 -0.25 -0.09
2.47 3.77 0.36 0.12 -0.27 -0.09
2.48 3.78 0.36 0.12 -0.29 -0.09
2.49 3.79 0.35 0.11 -0.30 -0.09
2.50 3.79 0.35 0.11 -0.32 -0.09
2.51 3.81 0.35 0.11 -0.34 -0.09
2.52 3.82 0.34 0.11 -0.35 -0.09
2.53 3.84 0.34 0.11 -0.37 -0.09
2.54 3.85 0.34 0.11 -0.38 -0.09
2.55 3.87 0.33 0.11 -0.40 -0.09
2.56 3.89 0.33 0.11 -0.41 -0.09
2.57 3.90 0.32 0.11 -0.42 -0.09
2.58 3.91 0.32 0.11 -0.43 -0.09
2.59 3.92 0.31 0.11 -0.45 -0.09
2.60 3.92 0.31 0.10 -0.46 -0.09
2.61 3.92 0.31 0.10 -0.47 -0.09
2.62 3.92 0.30 0.10 -0.48 -0.09
2.63 3.92 0.30 0.10 -0.49 -0.09
2.64 3.91 0.29 0.10 -0.50 -0.09
2.65 3.90 0.29 0.10 -0.51 -0.09
2.66 3.89 0.28 0.10 -0.51 -0.09
2.67 3.88 0.28 0.10 -0.52 -0.09
2.68 3.87 0.27 0.10 -0.53 -0.09
2.69 3.87 0.27 0.10 -0.54 -0.09
2.70 3.86 0.26 0.10 -0.54 -0.09
2.71 3.86 0.25 0.09 -0.55 -0.09
2.72 3.86 0.25 0.09 -0.55 -0.09
2.73 3.87 0.24 0.09 -0.56 -0.09
2.74 3.87 0.24 0.09 -0.56 -0.09
2.75 3.87 0.23 0.09 -0.56 -0.09
2.76 3.88 0.23 0.09 -0.56 -0.09
2.77 3.88 0.22 0.09 -0.57 -0.09
2.78 3.88 0.22 0.09 -0.57 -0.09
2.79 3.88 0.21 0.09 -0.57 -0.10
2.80 3.88 0.20 0.09 -0.57 -0.10
2.81 3.88 0.20 0.09 -0.57 -0.10
2.82 3.88 0.19 0.08 -0.56 -0.10
2.83 3.88 0.19 0.08 -0.56 -0.10
2.84 3.87 0.18 0.08 -0.56 -0.10
2.85 3.87 0.18 0.08 -0.55 -0.10
2.86 3.87 0.17 0.08 -0.55 -0.10
2.87 3.87 0.16 0.08 -0.54 -0.10
2.88 3.87 0.16 0.08 -0.54 -0.10
2.89 3.87 0.15 0.08 -0.53 -0.10
2.90 3.87 0.15 0.08 -0.53 -0.10
2.91 3.88 0.14 0.07 -0.52 -0.11
2.92 3.88 0.14 0.07 -0.51 -0.11
2.93 3.89 0.13 0.07 -0.50 -0.11
2.94 3.90 0.13 0.07 -0.49 -0.11
2.95 3.90 0.12 0.07 -0.48 -0.11
2.96 3.91 0.12 0.07 -0.47 -0.11
2.97 3.92 0.11 0.07 -0.46 -0.11
2.98 3.92 0.11 0.07 -0.45 -0.11
2.99 3.93 0.11 0.07 -0.44 -0.12
3.00 3.94 0.10 0.06 -0.43 -0.12
3.01 3.94 0.10 0.06 -0.41 -0.12
3.02 3.95 0.09 0.06 -0.40 -0.12
3.03 3.96 0.09 0.06 -0.39 -0.12
3.04 3.96 0.08 0.06 -0.37 -0.12
3.05 3.96 0.08 0.06 -0.36 -0.12
3.06 3.97 0.08 0.06 -0.34 -0.12
3.07 3.97 0.07 0.06 -0.33 -0.13
3.08 3.97 0.07 0.06 -0.31 -0.13
3.09 3.97 0.07 0.05 -0.29 -0.13
3.10 3.96 0.07 0.05 -0.28 -0.13
3.11 3.96 0.06 0.05 -0.26 -0.13
3.12 3.95 0.06 0.05 -0.25 -0.13
3.13 3.95 0.06 0.05 -0.23 -0.13
3.14 3.94 0.06 0.05 -0.21 -0.13
3.15 3.93 0.05 0.05 -0.20 -0.14
3.16 3.92 0.05 0.04 -0.18 -0.14
3.17 3.92 0.05 0.04 -0.16 -0.14
3.18 3.92 0.05 0.04 -0.15 -0.14
3.19 3.91 0.05 0.04 -0.13 -0.14
3.20 3.91 0.05 0.04 -0.11 -0.14
3.21 3.92 0.04 0.04 -0.10 -0.14
3.22 3.92 0.04 0.04 -0.08 -0.14
3.23 3.93 0.04 0.03 -0.06 -0.14
3.24 3.93 0.04 0.03 -0.05 -0.14
3.25 3.94 0.04 0.03 -0.03 -0.15
3.26 3.94 0.04 0.03 -0.01 -0.15
3.27 3.95 0.04 0.03 0.00 -0.15
3.28 3.95 0.04 0.03 0.02 -0.15
3.29 3.95 0.04 0.03 0.03 -0.15
3.30 3.95 0.04 0.02 0.05 -0.15
3.31 3.95 0.04 0.02 0.06 -0.15
3.32 3.94 0.04 0.02 0.08 -0.15
3.33 3.93 0.04 0.02 0.09 -0.15
3.34 3.92 0.05 0.02 0.11 -0.15
3.35 3.92 0.05 0.02 0.12 -0.15
3.36 3.91 0.05 0.02 0.13 -0.15
3.37 3.90 0.05 0.01 0.14 -0.15
3.38 3.90 0.05 0.01 0.16 -0.15
3.39 3.89 0.05 0.01 0.17 -0.15
3.40 3.89 0.05 0.01 0.18 -0.15
3.41 3.89 0.06 0.01 0.19 -0.15
3.42 3.90 0.06 0.01 0.20 -0.15
3.43 3.90 0.06 0.01 0.21 -0.15
3.44 3.91 0.06 0.00 0.22 -0.15
3.45 3.92 0.06 0.00 0.23 -0.15
3.46 3.92 0.07 0.00 0.24 -0.14
3.47 3.93 0.07 -0.00 0.25 -0.14
3.48 3.93 0.07 -0.00 0.25 -0.14
3.49 3.94 0.07 -0.00 0.26 -0.14
3.50 3.94 0.08 -0.00 0.27 -0.14
3.51 3.94 0.08 -0.01 0.27 -0.14
3.52 3.94 0.08 -0.01 0.28 -0.14
3.53 3.93 0.09 -0.01 0.28 -0.14
3.54 3.93 0.09 -0.01 0.29 -0.13
3.55 3.92 0.09 -0.01 0.29 -0.13
3.56 3.91 0.09 -0.01 0.29 -0.13
3.57 3.90 0.10 -0.01 0.29 -0.13
3.58 3.89 0.10 -0.02 0.30 -0.13
3.59 3.88 0.10 -0.02 0.30 -0.12
3.60 3.88 0.11 -0.02 0.30 -0.12
3.61 3.87 0.11 -0.02 0.30 -0.12
3.62 3.87 0.11 -0.02 0.29 -0.12
3.63 3.87 0.11 -0.02 0.29 -0.11
3.64 3.87 0.12 -0.02 0.29 -0.11
3.65 3.87 0.12 -0.02 0.29 -0.11
3.66 3.87 0.12 -0.02 0.28 -0.11
3.67 3.88 0.13 -0.03 0.28 -0.10
3.68 3.89 0.13 -0.03 0.28 -0.10
3.69 3.90 0.13 -0.03 0.27 -0.10
3.70 3.91 0.13 -0.03 0.27 -0.09
3.71 3.93 0.14 -0.03 0.26 -0.09
3.72 3.94 0.14 -0.03 0.25 -0.09
3.73 3.95 0.14 -0.03 0.25 -0.08
3.74 3.96 0.14 -0.03 0.24 -0.08
3.75 3.98 0.15 -0.03 0.23 -0.08
3.76 3.98 0.15 -0.03 0.23 -0.07
3.77 3.99 0.15 -0.03 0.22 -0.07
3.78 3.99 0.15 -0.04 0.21 -0.07
3.79 3.99 0.16 -0.04 0.20 -0.06
3.80 3.99 0.16 -0.04 0.19 -0.06
3.81 3.99 0.16 -0.04 0.19 -0.05
3.82 3.98 0.16 -0.04 0.18 -0.05
3.83 3.98 0.16 -0.04 0.17 -0.05
3.84 3.97 0.16 -0.04 0.16 -0.04
3.85 3.96 0.17 -0.04 0.15 -0.04
3.86 3.95 0.17 -0.04 0.13 -0.03
3.87 3.94 0.17 -0.04 0.12 -0.03
3.88 3.94 0.17 -0.04 0.11 -0.03
3.89 3.93 0.17 -0.04 0.10 -0.02
3.90 3.92 0.17 -0.04 0.09 -0.02
3.91 3.91 0.17 -0.04 0.08 -0.01
3.92 3.91 0.17 -0.04 0.06 -0.01
3.93 3.90 0.17 -0.04 0.05 -0.01
3.94 3.90 0.17 -0.04 0.04 -0.00
3.95 3.89 0.17 -0.04 0.03 0.00
3.96 3.89 0.18 -0.04 0.01 0.01
3.97 3.88 0.18 -0.04 0.00 0.01
3.98 3.88 0.18 -0.04 -0.01 0.02
3.99 3.88 0.17 -0.04 -0.02 0.02
4.00 3.88 0.17 -0.04 -0.04 0.02
4.01 3.88 0.17 -0.04 -0.05 0.03
4.02 3.88 0.17 -0.04 -0.06 0.03
4.03 3.88 0.17 -0.04 -0.08 0.04
4.04 3.89 0.17 -0.04 -0.09 0.04
4.05 3.89 0.17 -0.04 -0.10 0.05
4.06 3.90 0.17 -0.04 -0.11 0.05
4.07 3.90 0.17 -0.04 -0.12 0.05
4.08 3.90 0.17 -0.04 -0.13 0.06
4.09 3.91 0.17 -0.04 -0.14 0.06
4.10 3.91 0.16 -0.04 -0.15 0.07
4.11 3.91 0.16 -0.03 -0.17 0.07
4.12 3.91 0.16 -0.03 -0.17 0.07
4.13 3.90 0.16 -0.03 -0.18 0.08
4.14 3.90 0.16 -0.03 -0.19 0.08
4.15 3.89 0.16 -0.03 -0.20 0.08
4.16 3.88 0.15 -0.03 -0.21 0.09
4.17 3.87 0.15 -0.03 -0.22 0.09
4.18 3.86 0.15 -0.03 -0.23 0.09
4.19 3.85 0.15 -0.03 -0.23 0.10
4.20 3.84 0.14 -0.03 -0.24 0.10
4.21 3.83 0.14 -0.03 -0.25 0.10
4.22 3.82 0.14 -0.02 -0.26 0.11
4.23 3.81 0.14 -0.02 -0.26 0.11
4.24 3.81 0.13 -0.02 -0.27 0.11
4.25 3.81 0.13 -0.02 -0.27 0.12
4.26 3.81 0.13 -0.02 -0.28 0.12
4.27 3.81 0.13 -0.02 -0.28 0.12
4.28 3.81 0.12 -0.02 -0.28 0.12
4.29 3.81 0.12 -0.02 -0.29 0.13
4.30 3.81 0.12 -0.02 -0.29 0.13
4.31 3.81 0.11 -0.01 -0.29 0.13
4.32 3.81 0.11 -0.01 -0.29 0.13
4.33 3.82 0.11 -0.01 -0.29 0.14
4.34 3.82 0.11 -0.01 -0.29 0.14
4.35 3.82 0.10 -0.01 -0.29 0.14
4.36 3.82 0.10 -0.01 -0.29 0.14
4.37 3.82 0.10 -0.01 -0.29 0.14
4.38 3.82 0.09 -0.00 -0.28 0.14
4.39 3.82 0.09 -0.00 -0.28 0.15
4.40 3.82 0.09 -0.00 -0.28 0.15
4.41 3.82 0.09 0.00 -0.27 0.15
4.42 3.81 0.08 0.00 -0.27 0.15
4.43 3.80 0.08 0.00 -0.26 0.15
4.44 3.79 0.08 0.00 -0.26 0.15
4.45 3.78 0.08 0.01 -0.25 0.15
4.46 3.77 0.07 0.01 -0.24 0.15
4.47 3.75 0.07 0.01 -0.23 0.15
4.48 3.74 0.07 0.01 -0.23 0.15
4.49 3.72 0.07 0.01 -0.22 0.16
4.50 3.71 0.06 0.01 -0.21 0.16
4.51 3.69 0.06 0.02 -0.20 0.16
4.52 3.69 0.06 0.02 -0.19 0.16
4.53 3.68 0.06 0.02 -0.18 0.16
4.54 3.67 0.06 0.02 -0.17 0.16
4.55 3.67 0.06 0.02 -0.16 0.16
4.56 3.68 0.05 0.02 -0.15 0.16
4.57 3.69 0.05 0.02 -0.14 0.16
4.58 3.70 0.05 0.03 -0.13 0.16
4.59 3.71 0.05 0.03 -0.11 0.15
4.60 3.73 0.05 0.03 -0.10 0.15
4.61 3.75 0.05 0.03 -0.09 0.15
4.62 3.76 0.05 0.03 -0.07 0.15
4.63 3.78 0.05 0.03 -0.06 0.15
4.64 3.79 0.05 0.04 -0.04 0.15
4.65 3.80 0.05 0.04 -0.03 0.15
4.66 3.80 0.04 0.04 -0.01 0.15
4.67 3.81 0.04 0.04 0.00 0.15
4.68 3.80 0.05 0.04 0.02 0.15
4.69 3.80 0.05 0.04 0.03 0.15
4.70 3.79 0.05 0.04 0.05 0.14
4.71 3.78 0.05 0.05 0.07 0.14
4.72 3.77 0.05 0.05 0.08 0.14
4.73 3.76 0.05 0.05 0.10 0.14
4.74 3.75 0.05 0.05 0.12 0.14
4.75 3.74 0.05 0.05 0.13 0.14
4.76 3.73 0.05 0.05 0.15 0.14
4.77 3.73 0.05 0.05 0.16 0.14
4.78 3.73 0.05 0.06 0.18 0.13
4.79 3.73 0.06 0.06 0.20 0.13
4.80 3.73 0.06 0.06 0.21 0.13
4.81 3.73 0.06 0.06 0.23 0.13
4.82 3.74 0.06 0.06 0.24 0.13
4.83 3.75 0.07 0.06 0.26 0.13
4.84 3.76 0.07 0.06 0.27 0.12
4.85 3.77 0.07 0.06 0.29 0.12
4.86 3.77 0.07 0.07 0.30 0.12
4.87 3.78 0.08 0.07 0.32 0.12
4.88 3.79 0.08 0.07 0.33 0.12
4.89 3.79 0.08 0.07 0.35 0.12
4.90 3.79 0.09 0.07 0.36 0.11
4.91 3.79 0.09 0.07 0.38 0.11
4.92 3.79 0.10 0.07 0.39 0.11
4.93 3.78 0.10 0.07 0.40 0.11
4.94 3.78 0.10 0.07 0.41 0.11
4.95 3.77 0.11 0.08 0.43 0.11
4.96 3.76 0.11 0.08 0.44 0.10
4.97 3.75 0.12 0.08 0.45 0.10
4.98 3.75 0.12 0.08 0.46 0.10
4.99 3.74 0.13 0.08 0.47 0.10
5.00 3.74 0.13 0.08 0.48 0.10
5.01 3.74 0.13 0.08 0.49 0.10
5.02 3.74 0.14 0.08 0.49 0.09
5.03 3.74 0.14 0.08 0.50 0.09
5.04 3.75 0.15 0.08 0.51 0.09
5.05 3.76 0.15 0.09 0.52 0.09
5.06 3.77 0.16 0.09 0.52 0.09
5.07 3.78 0.17 0.09 0.53 0.09
5.08 3.79 0.17 0.09 0.53 0.09
5.09 3.80 0.18 0.09 0.54 0.08
5.10 3.81 0.18 0.09 0.54 0.08
5.11 3.82 0.19 0.09 0.54 0.08
5.12 3.83 0.19 0.09 0.55 0.08
5.13 3.83 0.20 0.09 0.55 0.08
5.14 3.83 0.20 0.09 0.55 0.08
5.15 3.83 0.21 0.09 0.55 0.08
5.16 3.83 0.21 0.09 0.55 0.08
5.17 3.82 0.22 0.10 0.55 0.08
5.18 3.82 0.23 0.10 0.55 0.08
5.19 3.82 0.23 0.10 0.55 0.07
5.20 3.81 0.24 0.10 0.55 0.07
5.21 3.81 0.24 0.10 0.54 0.07
5.22 3.81 0.25 0.10 0.54 0.07
5.23 3.81 0.25 0.10 0.53 0.07
5.24 3.81 0.26 0.10 0.53 0.07
5.25 3.81 0.26 0.10 0.52 0.07
5.26 3.81 0.27 0.10 0.52 0.07
5.27 3.81 0.27 0.10 0.51 0.07
5.28 3.81 0.28 0.10 0.50 0.07
5.29 3.81 0.28 0.10 0.49 0.07
5.30 3.81 0.29 0.10 0.49 0.07
5.31 3.80 0.29 0.11 0.48 0.07
5.32 3.80 0.30 0.11 0.47 0.07
5.33 3.79 0.30 0.11 0.46 0.07
5.34 3.78 0.31 0.11 0.44 0.07
5.35 3.77 0.31 0.11 0.43 0.07
5.36 3.77 0.32 0.11 0.42 0.07
5.37 3.76 0.32 0.11 0.41 0.07
5.38 3.76 0.32 0.11 0.39 0.07
5.39 3.76 0.33 0.11 0.38 0.07
5.40 3.76 0.33 0.11 0.37 0.07
5.41 3.77 0.33 0.11 0.35 0.07
5.42 3.77 0.34 0.11 0.34 0.07
5.43 3.78 0.34 0.11 0.32 0.07
5.44 3.79 0.34 0.11 0.30 0.07
5.45 3.80 0.35 0.12 0.29 0.07
5.46 3.80 0.35 0.12 0.27 0.07
5.47 3.81 0.35 0.12 0.26 0.07
5.48 3.81 0.36 0.12 0.24 0.07
5.49 3.81 0.36 0.12 0.22 0.07
5.50 3.81 0.36 0.12 0.21 0.07
5.51 3.81 0.36 0.12 0.19 0.07
5.52 3.81 0.36 0.12 0.17 0.07
